City,Country,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Datetime
Paradise Valley,US,33.5312,-111.9427,24.39,89,90,0.89,1627217309
Ribeira Grande,PT,38.5167,-28.7,23.22,78,40,3.09,1627217200
Hambantota,LK,6.1241,81.1185,30.19,74,75,7.72,1627217310
Ushuaia,AR,-54.8,-68.3,3.81,81,40,4.63,1627217260
Chimoio,MZ,-19.1164,33.4833,15.92,67,75,5.66,1627217312
Portland,US,45.5234,-122.6762,18.11,82,1,2.06,1627217106
Rikitea,PF,-23.1203,-134.9692,21.23,63,89,1.23,1627217313
Ilebo,CD,-4.3167,20.5833,37.49,16,85,2.73,1627217314
Hermanus,ZA,-34.4187,19.2345,21.56,49,100,1.04,1627217168
Golden,US,39.7555,-105.2211,21.68,60,1,0.45,1627217120
Pisco,PE,-13.7,-76.2167,17.23,82,90,1.54,1627217316
Tiksi,RU,71.6872,128.8694,8.28,76,81,1.42,1627217317
Saskylakh,RU,71.9167,114.0833,18.64,49,98,3.8,1627217318
Padang,ID,-0.9492,100.3543,28.03,83,22,1.43,1627217318
Quimper,FR,48.0,-4.1,23.32,68,75,5.14,1627217319
Klaksvík,FO,62.2266,-6.589,11.51,95,100,5.7,1627217320
Lumeje,AO,-11.55,20.7833,27.13,25,0,4.32,1627217321
Mataura,NZ,-46.1927,168.8643,6.9,87,100,2.5,1627217322
Yellowknife,CA,62.456,-114.3525,11.27,93,75,2.06,1627217116
Cap Malheureux,MU,-19.9842,57.6142,24.27,63,0,4.02,1627217323
Lokosovo,RU,61.1333,74.8167,14.75,98,100,5.45,1627217327
Bathsheba,BB,13.2167,-59.5167,29.34,79,40,4.12,1627217328
Chanute,US,37.6792,-95.4572,25.84,94,1,0.0,1627217329
Palauig,PH,15.435,119.9045,27.69,86,100,5.4,1627217329
Hithadhoo,MV,-0.6,73.0833,27.52,79,55,3.46,1627217193
Zabul Province,AF,32.25,67.25,35.38,10,0,5.34,1627217331
Tuatapere,NZ,-46.1333,167.6833,8.74,88,100,2.28,1627217332
Taoudenni,ML,22.6783,-3.9836,46.5,6,4,5.44,1627217333
Nhulunbuy,AU,-12.2333,136.7667,23.34,78,67,3.6,1627217334
Arlit,NE,18.7369,7.3853,40.5,15,6,2.22,1627217335
Hobart,AU,-42.8794,147.3294,5.92,78,40,0.45,1627217335
Owatonna,US,44.0839,-93.226,21.02,78,1,0.0,1627217318
Blackfoot,US,43.1905,-112.345,18.53,22,0,1.22,1627217120
Kuytun,RU,54.3419,101.5036,20.81,57,100,0.92,1627217337
Real,PH,14.6625,121.6047,28.01,85,100,6.7,1627217338
Codrington,AU,-38.2667,141.9667,11.08,88,89,7.25,1627217274
Punta Arenas,CL,-53.15,-70.9167,2.06,87,0,5.66,1627217340
Tuktoyaktuk,CA,69.4541,-133.0374,8.34,97,100,5.27,1627217340
Albany,US,42.6001,-73.9662,20.93,93,98,3.12,1627217207
Qaanaaq,GL,77.484,-69.3632,4.0,70,74,2.78,1627217160
Jamestown,US,42.097,-79.2353,22.51,83,75,3.09,1627217139
Westport,US,41.1415,-73.3579,21.66,86,90,5.36,1627217343
Avarua,CK,-21.2078,-159.775,25.03,78,90,4.12,1627217344
Lima,PE,-12.0432,-77.0282,16.14,77,90,1.54,1627216827
Mount Gambier,AU,-37.8333,140.7667,9.95,93,75,4.12,1627217346
Butaritari,KI,3.0707,172.7902,27.91,77,7,5.25,1627217347
Atuona,PF,-9.8,-139.0333,25.65,69,1,9.72,1627217348
Lázaro Cárdenas,MX,17.9583,-102.2,25.59,88,28,1.57,1627217348
Dakar,SN,14.6937,-17.4441,30.49,65,40,2.06,1627217350
Kapaa,US,22.0752,-159.319,25.99,85,90,0.89,1627217351
San Cristobal,VE,7.7669,-72.225,19.1,92,100,1.91,1627217252
Saint-Augustin,CA,51.226,-58.6502,19.43,64,71,4.24,1627217352
Airai,TL,-8.9266,125.4092,13.36,65,7,1.46,1627217353
Guerrero Negro,MX,27.9769,-114.0611,19.31,89,100,3.43,1627217354
Arraial do Cabo,BR,-22.9661,-42.0278,22.98,68,20,6.69,1627217354
Zarya,RU,55.7553,38.0958,24.57,41,99,1.86,1627217355
Coquimbo,CL,-29.9533,-71.3436,7.85,87,0,4.63,1627217356
Bentiu,SS,9.2333,29.8333,22.45,95,100,1.85,1627217357
Dikson,RU,73.5069,80.5464,4.24,87,9,2.89,1627217358
Ahipara,NZ,-35.1667,173.1667,14.4,95,100,9.09,1627217274
Great Falls,US,47.5002,-111.3008,19.82,46,1,4.63,1627217281
Hattiesburg,US,31.3271,-89.2903,28.69,91,1,0.0,1627217361
East London,ZA,-33.0153,27.9116,21.52,32,0,3.09,1627217361
Ixtapa,MX,20.7,-105.2,26.79,89,40,0.0,1627217362
Bluff,NZ,-46.6,168.3333,9.45,78,100,5.61,1627217364
Puerto Ayora,EC,-0.7393,-90.3518,21.97,89,29,2.24,1627217364
Rocha,UY,-34.4833,-54.3333,16.24,90,100,4.61,1627217308
Bredasdorp,ZA,-34.5322,20.0403,22.62,21,100,2.06,1627217366
Longyearbyen,SJ,78.2186,15.6401,6.91,81,75,2.06,1627217367
Hirara,JP,24.8,125.2833,28.83,88,100,7.49,1627217368
Vila Velha,BR,-20.3297,-40.2925,21.97,73,40,1.03,1627217268
Cape Town,ZA,-33.9258,18.4232,23.23,27,0,1.54,1627217187
Bugasong,PH,11.0439,122.0659,26.95,86,32,2.08,1627217371
Beringovskiy,RU,63.05,179.3167,10.95,91,100,2.16,1627217371
Thompson,CA,55.7435,-97.8558,8.09,93,75,2.06,1627217220
Barrow,US,71.2906,-156.7887,5.01,98,90,3.09,1627217373
Srednekolymsk,RU,67.45,153.6833,7.03,67,100,7.09,1627217374
Kumul,CN,42.8,93.45,36.19,11,0,9.54,1627217374
Korla,CN,41.7597,86.1469,37.5,12,0,3.64,1627217263
Mar del Plata,AR,-38.0023,-57.5575,12.83,65,90,2.24,1627217140
Lavrentiya,RU,65.5833,-171.0,6.72,99,100,3.44,1627217376
Levice,SK,48.2156,18.6071,30.28,31,3,5.09,1627217377
Namanyere,TZ,-7.5167,31.05,22.94,35,55,3.49,1627217378
Evensk,RU,61.95,159.2333,9.6,99,100,4.33,1627217379
Esperance,AU,-33.8667,121.9,12.91,72,0,8.72,1627217380
Bambous Virieux,MU,-20.3428,57.7575,24.14,60,20,5.14,1627217156
Busselton,AU,-33.65,115.3333,14.49,67,3,8.26,1627217381
San Quintín,MX,30.4833,-115.95,19.57,87,100,2.34,1627217382
Half Moon Bay,US,37.4636,-122.4286,16.34,90,90,0.0,1627217116
Russell,US,32.3502,-85.1999,24.84,87,1,0.0,1627217220
Kasempa,ZM,-13.4584,25.8338,22.94,24,0,4.88,1627217388
Chicama,PE,-7.8447,-79.1469,17.3,88,97,1.68,1627217389
Yumen,CN,40.2833,97.2,28.13,27,100,3.36,1627217390
Kaitangata,NZ,-46.2817,169.8464,8.85,64,100,2.22,1627217391
Meulaboh,ID,4.1363,96.1285,27.16,79,95,0.99,1627217392
Evanston,US,42.0411,-87.6901,25.3,86,40,0.45,1627217248
Sobolevo,RU,54.4299,31.8996,26.38,34,40,2.0,1627217394
Port Alfred,ZA,-33.5906,26.891,21.85,32,9,2.29,1627217127
Ubari,LY,26.5921,12.7805,35.86,13,0,3.92,1627217395
Necochea,AR,-38.5473,-58.7368,10.88,96,100,1.87,1627217396
Dunedin,NZ,-45.8742,170.5036,10.45,72,100,5.81,1627217149
Manyana,BW,-23.4,21.7167,18.82,24,0,5.56,1627217398
Vardø,NO,70.3705,31.1107,8.41,79,95,9.76,1627217125
Gambēla,ET,8.25,34.5833,20.29,99,100,0.22,1627217399
Curup,ID,-3.4667,102.5333,20.51,95,8,1.46,1627217400
Bethel,US,41.3712,-73.414,20.57,90,90,0.45,1627217401
Castro,BR,-24.7911,-50.0119,17.68,47,0,3.53,1627217228
‘Āhuimanu,US,21.4447,-157.8378,26.84,77,75,5.14,1627217403
Beloha,MG,-25.1667,45.05,19.37,51,48,7.33,1627217404
Paamiut,GL,61.994,-49.6678,7.4,55,100,2.4,1627217405
Ponta do Sol,PT,32.6667,-17.1,27.62,69,3,0.56,1627217406
Mayumba,GA,-3.432,10.6554,24.63,74,35,4.46,1627217284
Xapuri,BR,-10.6517,-68.5044,20.36,48,13,0.3,1627217407
Porto Santo,PT,33.072,-16.3415,24.95,69,75,4.12,1627217408
San Patricio,US,28.017,-97.5169,27.16,87,5,2.48,1627217409
Kruisfontein,ZA,-34.0033,24.7314,21.06,21,25,4.4,1627217149
Nikolskoye,RU,59.7035,30.7861,23.0,40,86,3.81,1627217254
Bilibino,RU,68.0546,166.4372,5.49,84,8,2.59,1627217411
Yar-Sale,RU,66.8333,70.8333,15.73,59,100,5.87,1627217266
Salmo,CA,49.1999,-117.2689,17.16,74,0,1.26,1627217413
St. George's,GD,12.0564,-61.7485,28.82,79,20,6.69,1627217414
Port Lincoln,AU,-34.7333,135.8667,13.33,85,11,8.06,1627217415
Yerbogachën,RU,61.2767,108.0108,21.08,58,6,1.01,1627217415
Batemans Bay,AU,-35.7167,150.1833,12.73,54,100,5.28,1627217416
Vestmannaeyjar,IS,63.4427,-20.2734,10.55,87,90,12.86,1627217417
Araguaína,BR,-7.1911,-48.2072,29.86,35,87,4.68,1627217418
Hilo,US,19.7297,-155.09,24.33,94,90,2.57,1627217281
Hualmay,PE,-11.0964,-77.6139,17.35,82,46,2.38,1627217419
George Town,MY,5.4112,100.3354,29.97,77,20,3.09,1627217194
Nemuro,JP,43.3236,145.575,16.85,92,4,3.38,1627217421
Papillion,US,41.1544,-96.0422,24.08,95,1,0.45,1627217422
Pevek,RU,69.7008,170.3133,1.43,93,100,5.16,1627217422
Sur,OM,22.5667,59.5289,34.27,56,17,2.62,1627217423
Talnakh,RU,69.4865,88.3972,12.63,89,100,1.54,1627217424
Tarauacá,BR,-8.1614,-70.7656,25.83,62,71,0.3,1627217425
Aksha,RU,50.2814,113.2867,14.55,79,14,1.83,1627217426
Tasiilaq,GL,65.6145,-37.6368,3.73,90,60,0.5,1627217426
Pacific Grove,US,36.6177,-121.9166,14.21,93,90,0.45,1627217427
Khatanga,RU,71.9667,102.5,14.93,64,22,5.42,1627217428
Nizwá,OM,22.9333,57.5333,31.95,53,83,1.3,1627217429
North Bend,US,43.4065,-124.2243,14.4,94,90,4.63,1627217430
Seoul,KR,37.5683,126.9778,30.78,62,0,2.57,1627217430
Ust-Kuyga,RU,70.0167,135.6,13.67,63,96,3.29,1627217431
Alofi,NU,-19.0595,-169.9187,20.94,94,8,0.51,1627217432
Saint-Philippe,RE,-21.3585,55.7679,22.77,77,39,4.84,1627217433
Najrān,SA,17.4924,44.1277,37.36,16,100,8.53,1627217434
Medak,IN,18.0333,78.2667,29.81,77,51,4.59,1627217435
Guerrero,MX,17.6667,-100.0,17.92,87,100,0.78,1627217435
Ulladulla,AU,-35.35,150.4667,11.6,56,100,6.0,1627217436
Stolin,BY,51.8912,26.846,22.04,61,98,1.38,1627217437
Mazamitla,MX,19.9167,-103.0333,11.55,91,65,0.95,1627217438
Cocobeach,GA,1.0002,9.5823,25.96,74,97,4.22,1627217439
Bulembu,SZ,-25.9667,31.1333,15.13,40,49,2.99,1627217439
Pouébo,NC,-20.4,164.5667,20.04,80,8,1.95,1627217440
Chui,UY,-33.6971,-53.4616,15.51,95,100,2.18,1627217441
Chapleau,CA,47.8405,-83.4034,17.05,94,40,3.09,1627217443
Robertsport,LR,6.7533,-11.3686,26.47,71,71,4.37,1627217444
Kompaniyivka,UA,48.2511,32.208,29.35,30,58,1.17,1627217445
Amga,RU,60.8953,131.9608,14.63,90,7,1.14,1627217445
Kedrovyy,RU,56.1667,91.8167,27.23,67,30,2.31,1627217447
Iqaluit,CA,63.7506,-68.5145,6.85,100,90,2.68,1627217448
New Norfolk,AU,-42.7826,147.0587,5.72,78,98,1.79,1627217448
Bontang,ID,0.1333,117.5,26.3,83,13,4.31,1627217449
La Unión,PE,-5.4,-80.75,19.11,78,12,3.39,1627217450
Ilulissat,GL,69.2167,-51.1,5.82,67,34,3.81,1627217451
Dingle,PH,10.9995,122.6711,25.53,86,12,3.8,1627217452
Norman Wells,CA,65.282,-126.8329,3.02,81,40,1.54,1627217452
Kédougou,SN,12.5579,-12.1743,30.32,66,40,3.09,1627217453
Lubao,PH,14.9167,120.55,28.04,88,100,4.36,1627217454
Fevik,NO,58.3794,8.6766,23.38,61,100,5.01,1627217455
Bulgan,MN,48.8125,103.5347,15.54,82,95,1.05,1627217456
Vaini,TO,-21.2,-175.2,21.09,94,20,0.0,1627217457
Khuzhir,RU,53.1939,107.3397,14.05,72,0,2.3,1627217458
Lebu,CL,-37.6167,-73.65,10.56,90,100,3.88,1627217459
Salalah,OM,17.0151,54.0924,27.05,89,75,5.66,1627217239
Sinnamary,GF,5.3833,-52.95,25.46,88,100,1.52,1627217461
Upernavik,GL,72.7868,-56.1549,5.13,82,86,0.43,1627217461
Chokurdakh,RU,70.6333,147.9167,3.11,74,0,5.28,1627217462
Pyaozerskiy,RU,65.8333,31.1667,18.23,49,91,2.96,1627217463
Zyryanka,RU,65.75,150.85,13.71,75,100,4.49,1627217464
Sibolga,ID,1.7427,98.7792,25.84,84,72,1.39,1627217465
Bodden Town,KY,19.2833,-81.25,28.33,91,20,0.45,1627217352
Uvalde,US,29.3669,-99.767,23.62,77,40,2.06,1627217467
Torbay,CA,47.6666,-52.7314,16.53,90,90,3.6,1627217467
Yulara,AU,-25.2406,130.9889,15.91,33,100,2.57,1627217469
Banda Aceh,ID,5.5577,95.3222,27.76,80,98,5.13,1627217470
Buraidah,SA,26.326,43.975,46.25,7,56,5.89,1627217311
San Francisco,US,37.7749,-122.4194,16.79,91,75,0.45,1627217400
Cherskiy,RU,68.75,161.3,5.09,78,5,3.9,1627217472
Carnarvon,AU,-24.8667,113.6333,18.04,64,0,4.63,1627217472
Antofagasta,CL,-23.65,-70.4,13.6,77,100,3.35,1627217473
Los Llanos de Aridane,ES,28.6585,-17.9182,22.86,84,20,7.72,1627217474
São José da Coroa Grande,BR,-8.8978,-35.1478,25.47,77,8,6.29,1627217475
Dodola,ET,6.9833,39.1833,13.06,77,100,2.08,1627217476
São Félix do Xingu,BR,-6.6447,-51.995,30.07,34,100,1.81,1627217476
Morondava,MG,-20.2833,44.2833,25.37,58,7,6.65,1627217478
Angul,IN,20.85,85.1,29.71,75,93,2.06,1627217479
Aykhal,RU,66.0,111.5,24.03,53,98,4.8,1627217480
Port Elizabeth,ZA,-33.918,25.5701,23.16,25,0,2.06,1627217481
Severo-Kuril'sk,RU,50.6789,156.125,12.36,97,89,1.74,1627217482
College,US,64.8569,-147.8028,11.99,84,75,0.0,1627217429
Lohja,FI,60.2486,24.0653,27.9,36,99,1.17,1627217483
Marsaxlokk,MT,35.8419,14.5431,32.34,33,0,3.6,1627217484
Simbahan,PH,6.3032,120.5836,28.86,75,14,2.8,1627217485
Laas,IT,46.6166,10.7002,24.23,71,100,2.96,1627217485
Kupang,ID,-10.1667,123.5833,24.32,83,20,3.6,1627217486
Emerald,AU,-23.5333,148.1667,13.08,42,97,3.09,1627217488
Umluj,SA,25.0213,37.2685,32.61,49,6,5.28,1627217256
Kavieng,PG,-2.5744,150.7967,27.39,77,46,2.18,1627217490
Hong Kong,HK,22.2855,114.1577,31.29,79,10,0.45,1627217490
Manokwari,ID,-0.8667,134.0833,26.54,79,100,2.79,1627217263
Nome,US,64.5011,-165.4064,9.04,87,90,4.12,1627217492
Tadine,NC,-21.55,167.8833,21.16,82,18,4.93,1627217493
Saint Paul Harbor,US,57.79,-152.4072,8.22,98,69,0.76,1627217493
Bariloche,AR,-41.1456,-71.3082,2.86,93,75,3.6,1627217426
Thinadhoo,MV,0.5333,72.9333,27.63,72,44,2.76,1627217495
Zhangye,CN,38.9342,100.4517,26.06,28,69,2.95,1627217496
Sri Aman,MY,1.2376,111.4621,28.03,89,73,0.0,1627217496
Bahía Honda,CU,22.9036,-83.1592,27.92,67,8,0.62,1627217497
São Francisco,BR,-15.9486,-44.8644,23.91,41,0,3.58,1627217498
Muros,ES,42.7762,-9.0603,25.64,73,89,3.19,1627217499
Whitehorse,CA,60.7161,-135.0538,7.43,81,40,2.06,1627217438
Vélingara,SN,13.15,-14.1167,30.15,64,100,3.34,1627217501
Peceneaga,RO,45.0167,28.1333,31.26,28,0,0.95,1627217502
Itarema,BR,-2.9248,-39.9167,30.56,41,16,6.47,1627217502
São João da Barra,BR,-21.6403,-41.0511,23.05,64,0,4.81,1627217504
Grindavik,IS,63.8424,-22.4338,10.97,100,90,12.86,1627217286
Xinmin,CN,41.9908,122.8253,29.6,72,100,3.66,1627217506
Cidreira,BR,-30.1811,-50.2056,19.68,60,35,2.48,1627217507
Hurghada,EG,27.2574,33.8129,32.31,44,0,6.99,1627217508
Toulouse,FR,43.6043,1.4437,26.23,56,90,5.14,1627217509
Gorom-Gorom,BF,14.4439,-0.2361,35.02,37,10,5.35,1627217510
Vohibinany,MG,-17.35,49.0333,18.4,96,100,1.83,1627217511
Katsuura,JP,35.1333,140.3,27.84,85,5,4.83,1627217512
Huarmey,PE,-10.0681,-78.1522,17.52,85,26,2.7,1627217513
Yangi Marg`ilon,UZ,40.4272,71.7189,39.4,14,0,3.09,1627217515
Nouakchott,MR,18.0858,-15.9785,29.96,69,7,6.11,1627217353
Luangwa,ZM,-15.6167,30.4167,24.59,28,0,4.33,1627217516
Fort Nelson,CA,58.8053,-122.7002,10.77,87,75,0.0,1627217220
Henties Bay,NA,-22.116,14.2845,23.91,32,0,4.87,1627217517
Glens Falls,US,43.3095,-73.644,20.4,94,90,0.89,1627217218
Katete,UG,-0.7818,29.7544,29.54,27,68,2.8,1627217519
Itapirapuã,BR,-15.8233,-50.6133,27.78,28,0,3.58,1627217520
Kovdor,RU,67.5662,30.4758,12.4,75,99,3.82,1627217520
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,11.33,100,20,1.0,1627217521
Warkworth,NZ,-36.4,174.6667,15.79,88,100,9.36,1627217522
Jackson,US,42.4165,-122.8345,19.93,66,1,0.0,1627217523
Riyadh,SA,24.6877,46.7219,44.08,7,16,7.74,1627217524
